Time,Irradiance,Zenith,Azimuth,Temperature,Wind Speed,Mean MPP
2023-07-06 12:00,0.864,28.56873036163153,178.373430540806,20.237,7.437,1.6476065175074892
2023-07-16 17:00,0.123,63.47912207714006,271.6083834082348,17.699,10.37,0.2279105667953352
2023-07-08 09:00,0.401,45.51264672409141,111.53891767246728,22.944,3.025,0.7932964354084747
2023-07-22 07:00,0.238,65.76531036904078,87.25527164662702,15.749,7.553,0.4451386142352673
2023-07-26 10:00,0.679,40.17571177639653,130.61512034711558,19.732,5.746,1.1649111256475166
2023-07-12 15:00,0.473,44.78703236177479,245.9600199521744,20.381,10.822,0.6353201843487967
2023-07-15 11:00,0.798,32.275486015774526,151.0239081713775,20.238,15.5,1.504691422904889
2023-07-12 07:00,0.487,64.38129701597833,86.1769982875042,17.299,8.307,0.2190204625867849
2023-07-10 15:00,0.571,44.61496520416991,246.26376507180987,21.482,9.98,0.5818028185986943
2023-07-21 05:00,0.143,83.60080320847055,64.75585492065903,12.991,6.402,0.1608457561344501
2023-07-25 18:00,0.088,73.99557587664636,281.59346452312366,17.636,6.872,0.141815153667364
2023-07-05 19:00,0.037,80.69148765488988,295.0750922529103,16.245,8.811,0.0555337376267047
2023-07-04 08:00,0.43,54.17256927072448,97.62964446233092,16.834,7.411,0.6641327870076175
2023-07-11 06:00,0.214,73.48150033827876,74.9693427892085,17.926,9.939,0.352004786464749
2023-07-12 05:00,0.1709999999999999,82.32188849874142,64.00504822732171,14.458,7.399,0.1216843175089412
2023-07-17 09:00,0.671,46.66565183545272,112.3652522572698,18.705,9.233,0.7897588569862783
2023-07-22 13:00,0.278,32.802573331518815,204.2481594791816,18.157,12.353,0.5671939745410576
2023-07-18 14:00,0.497,37.6488286420783,227.3623890673109,21.085,4.645,0.8945823255304293
2023-07-15 05:00,0.15,82.71707258365896,64.208597282538,16.099,10.58,0.1729211089042945
2023-07-04 14:00,0.414,36.25666782235741,229.5385085841624,18.121,8.38,0.8105739004349612
2023-07-24 11:00,0.569,33.88831940058824,151.7664793925967,18.765,6.97,1.1582083923958797
2023-07-03 13:00,0.563,30.37565223421366,206.6951873892939,19.247,13.669,1.055004188806263
2023-07-11 10:00,0.5469999999999999,37.76250723908536,128.7719818209847,20.778,10.099,1.0531727230664831
2023-07-04 16:00,0.177,53.256918140853415,261.06470463276605,17.336,6.362,0.3428905882978891
2023-07-21 08:00,0.556,56.27239552782575,99.1363886344942,17.324,6.381,0.3963822948241101
2023-07-09 09:00,0.429,45.62468391512287,111.60311930336184,19.305,5.752,0.8206470120568824
2023-07-05 11:00,0.735,30.978195194295203,150.8189740350649,18.815,9.861,1.419102112316129
2023-07-24 05:00,0.094,84.08740790394593,65.09974935257713,15.335,6.366,0.1673089526801769
2023-07-05 06:00,0.325,72.83337234375365,74.68070160813795,13.534,8.867,0.2091241517759688
2023-07-07 19:00,0.0409999999999999,80.80688509072982,294.886714982924,20.415,9.661,0.0566578948573178
2023-07-16 15:00,0.27,45.205406675300914,245.31665855821703,18.679,11.708,0.5223311020738369
2023-07-02 17:00,0.308,62.54535396682567,273.279838560218,18.978,10.357,0.2452201221075405
2023-07-02 09:00,0.735,44.92870669397911,111.30118378133074,18.555,8.267,0.8342707502471252
2023-07-17 14:00,0.687,37.50742754107373,227.52982682992612,20.755,9.834,0.9002108501245126
2023-07-17 18:00,0.145,72.87641686638307,282.72191800232724,18.817,8.209,0.1636259109018296
2023-07-19 05:00,0.133,83.29333560067123,64.55259658885598,15.0,6.296,0.175577025874588
2023-07-11 14:00,0.507,36.79450161159607,228.5068048993488,20.729,10.105,0.9235945925338712
2023-07-05 10:00,0.7130000000000001,37.073674769879744,128.48004761142204,18.243,9.604,1.182553531613888
2023-07-16 08:00,0.614,55.54968966816855,98.50375240187356,18.206,12.488,0.3551728182982196
2023-07-07 18:00,0.165,72.00721410357743,283.9166611461184,22.225,8.366,0.1527208363339631
2023-07-30 05:00,0.126,85.13147306803673,65.92609875328571,14.955,9.354,0.1204529357052481
2023-07-08 12:00,0.526,28.784594326429072,178.22822929783786,24.218,5.455,1.1078676544748085
2023-07-19 10:00,0.735,38.93519677768767,129.5644086652236,20.543,7.163,1.200823332582342
2023-07-28 06:00,0.244,75.9958893237355,76.85550260026957,17.15,5.625,0.2455205873829181
2023-07-20 12:00,0.779,30.607036347340625,177.69785023084478,21.626,3.179,1.5509256268013536
2023-07-11 09:00,0.5940000000000001,45.86156010357895,111.7524079797492,20.572,10.186,0.900950687292194
2023-07-27 06:00,0.15,75.82484429851907,76.70155507054193,17.42,11.007,0.2819427303942384
2023-07-20 10:00,0.777,39.100744207529,129.69481924180008,20.817,2.895,1.2758301884845014
2023-07-28 14:00,0.583,39.40956651762621,225.6807459620515,22.257,8.661,0.861240763477961
2023-07-28 08:00,0.484,57.40866370187407,100.2740930648061,19.514,6.192,0.4787416361982891
2023-07-31 14:00,0.228,40.05628368125642,225.18902579006505,19.171,9.867,0.4581804272612134
2023-07-25 08:00,0.494,56.90484027916247,99.75165379277934,16.095,4.508,0.4907820718512291
2023-07-05 17:00,0.213,62.64993850513346,272.9816178982724,18.439,9.517,0.3340345941248566
2023-07-02 08:00,0.631,53.9980989524722,97.57393642545492,17.826,7.681,0.3296576882396482
2023-07-13 19:00,0.027,81.29010791847446,294.253830560584,17.159,8.164,0.0440794810841439
2023-07-13 13:00,0.579,31.356926363562863,205.3787580562232,20.634,9.729,1.0766557193165924
2023-07-04 10:00,0.583,36.97582515953662,128.45710407785168,17.881,8.471,1.101883125979106
